"product_id","product_name","product_category","manufacturing_city","size","weight_kg","retail_price","cost_price","sku","supplier","active","quantity"
"430738","Resistance Bands Lite","Sports","Los Angeles","M","3.78","124.99","52.79","SKU-70284","Global Supply Co.",1,682
"431535","Setting Spray Pro","Beauty","Seoul","L","0.52","39.99","8.91","SKU-99224","QualityGoods Corp",1,768
"415743","Unknown","Beauty","Chicago","M","4.9","9.99","2.49","SKU-24393","FastShip Ltd",1,1090
"525942","Coconut Water Mini","Grocery","Warsaw","M","0.64","149.99","99.22","SKU-15249","EcoSource LLC",1,683
"922405","Smart Watch Mini","Electronics","Shenzhen","L","3.17","39.99","15.72","SKU-44162","ValueChain Partners",1,1066
"249149","Yoga Pants Mini","Apparel","Chicago","M","0.59","199.99","63.45","SKU-58267","QualityGoods Corp",1,1035
"191928","Cuff Links Set Premium","Jewelry","Shenzhen","L","4.69","299.99","56.72","SKU-87389","ValueChain Partners",1,1976
"408877","Cuff Links Set Ultra","Jewelry","Detroit","S","1.8","49.99","10.4","SKU-76271","EcoSource LLC",1,317
"308622","Play-Doh Set Lite","Toys & Games","Chennai","Unknown","4.35","399.99","142.98","SKU-82867","PrimeMaterials GmbH",1,1867
"806423","Facial Cleanser Premium","Beauty","Unknown","S","0.62","399.99","98.32","SKU-23844","FastShip Ltd","",828
"265092","Gym Gloves Premium","Sports","Mexico City","L","0.13","34.99","12.93","SKU-39460","TechParts Asia","",1745
"739905","Smart Watch Premium","Electronics","Detroit","9","2.71","19.99","9.3","SKU-43592","EcoSource LLC","",367
"201639","Setting Spray Elite","Beauty","Chennai","XL","1.02","74.99","17.69","SKU-87940","ValueChain Partners",1,129
"174369","Mechanical Keyboard Lite","Electronics","Los Angeles","XXL","7.09","124.99","49.56","SKU-82355","PrimeMaterials GmbH",1,271
"809641","Throw Blanket Basic","Home & Garden","Los Angeles","L","0.17","399.99","157.56","SKU-55548","MegaManufacture Inc",1,1455
"478411","Floral Sundress Premium","Apparel","Detroit","XXL","3.68","39.99","11.98","SKU-71196","Unknown",1,785
"822303","Blush Palette Plus","Beauty","Warsaw","XXL","2.3","34.99","8.87","SKU-93704","QualityGoods Corp",1,509
"395307","Unknown","Grocery","Los Angeles","L","1.08","29.99","16.04","SKU-46304","MegaManufacture Inc","",275
"939482","Graphic Tee Standard","Apparel","Tokyo","M","3.82","14.99","3.88","SKU-99399","Global Supply Co.",1,797
"122532","Memory Foam Pillow Max","Home & Garden","Shanghai","S","0.75","199.99","71.51","SKU-65009","TechParts Asia",1,1062
"705445","USB-C Hub Premium","Electronics","Seoul","L","1.06","199.99","95.19","SKU-81834","ValueChain Partners",1,1906
"724377","Wireless Headphones Pro","Electronics","Shenzhen","XL","7.64","299.99","116.67","SKU-55024","TechParts Asia",1,133
"705711","Dark Chocolate Bar Mini","Grocery","Shanghai","One Size","1.4","199.99","103.89","SKU-56770","MegaManufacture Inc",1,1852
"162894","SSD 1TB Basic","Electronics","Bangalore","M","6.35","34.99","15.4","SKU-61854","TechParts Asia",1,10
"578720","SSD 1TB Ultra","Electronics","Ho Chi Minh City","M","7.45","99.99","41.82","SKU-68373","ValueChain Partners",1,570
"245534","Graphic Tee Standard","Apparel","Los Angeles","L","0.76","24.99","7.83","SKU-19218","MegaManufacture Inc",1,13
"440881","Air Purifier Mini","Home & Garden","Warsaw","XL","1.25","24.99","9.33","SKU-18739","QualityGoods Corp","",508
"777406","Gym Gloves Ultra","Sports","Unknown","L","1.46","249.99","110.13","SKU-87748","EcoSource LLC",1,261
"608136","Graphic Tee Basic","Apparel","Istanbul","L","3.98","29.99","9.51","SKU-92262","Global Supply Co.",1,273
"469954","SSD 1TB Max","Electronics","Seoul","XXL","7.03","499.99","224.0","SKU-77868","ValueChain Partners",1,269
"148118","Card Game Mini","Toys & Games","Ho Chi Minh City","N/A","2.82","149.99","56.44","SKU-84803","TechParts Asia",1,136
"424398","Unknown","Home & Garden","Warsaw","XS","3.68","19.99","6.02","SKU-78688","MegaManufacture Inc",1,1570
"591147","USB-C Hub Plus","Electronics","Shanghai","XL","6.41","14.99","6.3","SKU-97692","EcoSource LLC",1,1500
"841535","Jump Rope Lite","Sports","Seoul","M","0.31","59.99","25.11","SKU-96589","EcoSource LLC",1,730
"743453","Smart Watch Max","Electronics","Bangalore","N/A","7.14","89.99","35.43","SKU-24087","MegaManufacture Inc",1,279
"498855","Resistance Bands Mini","Sports","Unknown","S","1.72","24.99","10.46","SKU-83748","QualityGoods Corp",1,850
"572407","Webcam HD Ultra","Electronics","Berlin","L","1.91","89.99","44.68","SKU-14691","EcoSource LLC",1,695
"465973","Poetry Collection Premium","Books","Mexico City","XL","4.79","299.99","117.28","SKU-61454","Unknown",1,869
"863187","Cycling Helmet Elite","Sports","Shanghai","N/A","4.46","249.99","110.05","SKU-26800","TechParts Asia",1,1722
"238173","Unknown","Sports","Guangzhou","L","3.32","249.99","99.53","SKU-76215","ValueChain Partners","",1389
"818987","Cycling Helmet Elite","Sports","Tokyo","Unknown","0.52","99.99","45.98","SKU-81940","PrimeMaterials GmbH",1,706
"585394","Unknown","Toys & Games","Tokyo","XS","0.6","49.99","17.42","SKU-89927","QualityGoods Corp",1,1565
"756190","Beanie Hat Standard","Apparel","Los Angeles","M","3.95","19.99","6.26","SKU-52672","Global Supply Co.",1,1171
"992562","Unknown","Electronics","Tokyo","XS","5.2","29.99","12.77","SKU-32841","QualityGoods Corp","",895
"877446","Rice Cakes Mini","Grocery","Shenzhen","S","0.55","34.99","22.78","SKU-85522","EcoSource LLC","",758
"117711","Tablet 10"" Premium","Electronics","Guangzhou","L","4.07","34.99","17.19","SKU-50490","ValueChain Partners",1,711
"120700","Stainless Steel Pan Pro","Home & Garden","Shenzhen","9","0.31","74.99","23.23","SKU-26449","FastShip Ltd",1,208
"491172","Memory Foam Pillow Elite","Home & Garden","Berlin","Unknown","0.49","199.99","69.8","SKU-62673","ValueChain Partners",1,972
"325583","Floral Sundress Elite","Apparel","Guangzhou","L","0.47","19.99","6.33","SKU-54296","ValueChain Partners",1,786
"455766","Indoor Plant Pot Lite","Home & Garden","Mexico City","L","2.91","124.99","47.86","SKU-63308","FastShip Ltd",1,276
"332881","Eye Cream Mini","Beauty","Ho Chi Minh City","XXL","3.09","29.99","7.44","SKU-73895","TechParts Asia",1,1435
"992744","Nail Polish Set Standard","Beauty","Los Angeles","XL","4.19","24.99","5.94","SKU-95812","FASTSHIP LTD",1,1123
"795978","Garden Hose Pro","Home & Garden","Istanbul","One Size","1.5","24.99","8.65","SKU-51963","QualityGoods Corp",1,1705
"135207","Hydrating Moisturizer Lite","Beauty","Bangalore","L","3.55","99.99","27.19","SKU-57173","Global Supply Co.",1,466
"415759","Stuffed Animal Pro","Toys & Games","Guangzhou","Unknown","3.51","199.99","78.04","SKU-65649","FastShip Ltd",1,1568
"786341","Sterling Silver Ring Basic","Jewelry","Shenzhen","One Size","3.04","34.99","6.17","SKU-70413","PrimeMaterials GmbH",1,1483
"838315","Gaming Mouse Standard","Electronics","Shanghai","L","7.09","499.99","233.36","SKU-67357","EcoSource LLC",1,611
"189261","Car Vacuum Premium","Automotive","Unknown","M","10.65","59.99","26.62","SKU-18407","FastShip Ltd","",1659
"694798","Wireless Headphones Plus","Electronics","Chennai","L","3.39","14.99","7.19","SKU-52670","Global Supply Co.",1,1815
"250181","Motor Oil 5W-30 Pro","Automotive","Shenzhen","10","5.91","34.99","18.3","SKU-80387","Global Supply Co.",1,191
"950544","Wool Blazer Pro","Apparel","Mexico City","L","2.12","199.99","59.78","SKU-59029","QualityGoods Corp",1,441
"351083","Graphic Tee Standard","Apparel","Istanbul","8","3.88","49.99","13.42","SKU-46655","MegaManufacture Inc",1,1780
"166287","Dumbbell Set Basic","Sports","Seoul","M","2.08","49.99","20.59","SKU-65808","PrimeMaterials GmbH","",1143
"265649","Stainless Steel Pan Premium","Home & Garden","Shanghai","Unknown","0.29","39.99","12.16","SKU-67148","MegaManufacture Inc",1,1101
"309159","SSD 1TB Ultra","Electronics","Bangalore","L","7.47","34.99","13.75","SKU-98999","MegaManufacture Inc","",1724
"968286","Indoor Plant Pot Plus","Home & Garden","Ho Chi Minh City","S","3.03","39.99","15.11","SKU-68998","QualityGoods Corp",1,1499
"769975","Fitness Tracker Premium","Sports","Shenzhen","L","2.91","59.99","24.52","SKU-46482","EcoSource LLC",1,1889
"437666","Gym Gloves Elite","Sports","Guangzhou","XL","1.3","24.99","10.43","SKU-42277","ValueChain Partners",1,1293
