product_id,product_name,product_category,manufacturing_city,size,weight_kg,retail_price,cost_price,sku_code,supplier,is_active,stock_quantity
770487,SSD 1TB Elite,Electronics,Guangzhou,M,7.16,39.99,17.53,SKU-66669,PrimeMaterials GmbH,No,1943
216739,Floral Sundress Plus,Apparel,Shanghai,7,4.18,149.99,39.29,SKU-74407,TechParts Asia,1,1478
126225,action figure max,Toys & Games,Chennai,XL,0.37,74.99,23.05,SKU-27075,FastShip Ltd,1,12
877572,Indoor Plant Pot Elite,Home & Garden,Bangalore,S,1.11,149.99,50.92,SKU-35164,Global Supply Co.,0,389
388389,USB-C Hub Mini,Electronics,Berlin,M,1.09,89.99,39.22,SKU-36277,TechParts Asia,1,1481
356787,Matte Lipstick Ultra,Beauty,Guangzhou,7,0.97,89.99,20.11,SKU-89666,TechParts Asia,1,-1714
334053,Card Game Lite,Toys & Games,Tokyo,M,4.19,199.99,76.45,SKU-89551,QualityGoods Corp,1,1851
246316,SSD 1TB Pro,Electronics,Chicago,S,3.23,49.99,22.5,SKU-11702,Global Supply Co.,1,1866
872246,LED Desk Lamp Plus,Home & Garden,Berlin,L,3.8,299.99,92.68,SKU-99073,PrimeMaterials GmbH,1,668
207473,Board Game Classic Lite,Toys & Games,Chennai,M,4.1,34.99,10.77,SKU-74226,QualityGoods Corp,1,1551
809570,Beanie Hat Plus,Apparel,Mexico City,L,1.18,149.99,44.27,SKU-63220,ValueChain Partners,1,1781
876646,Building Blocks Mini,Toys & Games,Tokyo,L,3.67,59.99,18.58,SKU-25070,Global Supply Co.,1,467
671858,Cast Iron Skillet Elite,Home & Garden,Warsaw,S,1.84,19.99,7.12,SKU-57621,FastShip Ltd,TRUE,703
191161,Play-Doh Set Elite,Toys & Games,Shenzhen,XL,3.37,99.99,33.79,SKU-13613,MegaManufacture Inc,1,340
719176,Ankle Chain Max,Jewelry,Chicago,M,0.7,24.99,5.63,SKU-14346,Global Supply Co.,1,1078
542417,Yoga Mat Ultra,Sports,Mexico City,XS,3.56,199.99,78.05,SKU-22317,FastShip Ltd,No,1436
133326,Oxford Shirt Standard,Apparel,Los Angeles,XS,4.86,124.99,38.78,SKU-19829,FastShip Ltd,1,1357
131244,Language Workbook Max,Books,Berlin,S,0.31,399.99,174.94,SKU-20747,Global Supply Co.,0,310
198246,Nail Polish Set Lite,Beauty,Los Angeles,M,0.56,149.99,35.28,SKU-39352,FastShip Ltd,1,187
329258,Gaming Mouse Elite,Electronics,Mexico City,XXL,1.69,124.99,56.45,SKU-89926,ecosource llc,1,680
343962,Green Tea Pack Lite,Grocery,Guangzhou,S,1.57,59.99,31.9,SKU-23928,ValueChain Partners,1,1743
629903,Card Game Basic,Toys & Games,Guangzhou,M,1.52,29.99,10.28,SKU-53818,Global Supply Co.,1,1544
731262,Puzzle 1000pc Basic,Toys & Games,Bangalore,XXL,4.05,499.99,168.48,SKU-50363,,No,1029
127824,Eye Cream Pro,Beauty,Berlin,L,2.42,49.99,12.23,SKU-78903,PrimeMaterials GmbH,1,613
688508,Wool Blazer Premium,Apparel,Chicago,L,2.47,124.99,33.08,SKU-10029,Global Supply Co.,1,1436
308496,USB-C Hub Pro,Electronics,Mexico City,XL,5.99,59.99,26.17,SKU-50346,TechParts Asia,1,1681
850800,Bluetooth Speaker Mini,Electronics,Shanghai,XXL,3.36,299.99,149.99,SKU-47101,TechParts Asia,1,279
781453,Cotton Bath Towel Standard,Home & Garden,chennai,M,1.83,29.99,11.87,SKU-34042,ValueChain Partners,1,50
835392,Resistance Bands Lite,Sports,Shenzhen,L,3.81,59.99,22.14,SKU-36058,FastShip Ltd,FALSE,784
671412,Nail Polish Set Basic,Beauty,Mexico City,,3.92,89.99,21.15,SKU-64093,ValueChain Partners,Yes,1251
539898,Cotton Bath Towel Pro,Home & Garden,Shenzhen,L,0.17,14.99,4.47,SKU-42914,PrimeMaterials GmbH,1,1300
331148,Microfiber Cloth Set Ultra,Automotive,Mexico City,L,9.52,124.99,55.29,SKU-75456,ValueChain Partners,TRUE,594
571029,Gaming Mouse Basic,Electronics,Chicago,XS,3.37,9.99,4.29,SKU-91064,ValueChain Partners,1,1341
